year,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Micronesia (Federated States of),Moldova,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Korea,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Republic of South Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1970,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0
1971,0,0.5615493867011,0.1900779697294,,0.084260794259557,,0,0.27859960614119,0,0,0.53774970933305,0.37768525503395,0,0,0.62771233725976,0.045726387338947,0,0,0.66642470431908,0,0.074737378888322,0,0,0.17348570780399,0,0,,0.16153212481595,0,0.5788978805395,1.8915964653903,0,0,0,0.056436044078672,0.76367563981947,0,,0,0,0.44425287356322,2.135100743607,0.27472352007258,0,0.15390161725067,0,0.1343126044507,0.10493716337522,0,0.29629562402626,12.362724392819,0.54092475588742,1.1552899977177,0.073169947571471,0.49532560059082,0,0,0.21535589693372,0.13362680516848,0.21587617260788,0.074986332687242,0,,0,0.076403519643078,0,,0,0.55702311265012,0.47511279445045,,0,0.35368826968528,0,0,0.69772091596563,0.10142970963173,,0.20856288190243,0,0,,0.094352686342011,0,0,0,0.038833285121975,0.17846690830984,0.25666442275328,0.68932978755192,0.44035297636853,0.31171944739639,0.15473680447424,0.19696417046694,0.68004575795457,0.66424623932382,0.39288067438593,0.32862574813923,0.39027570283852,0.49581885849129,0.18717049439982,0,0.17754560370621,0,,0.23272457325289,0,0,0,0.16708485689068,,0,0.1582739972631,,0,1.364639569759,0,0,0,0,0.32090362837994,0,0,0.43049608355091,,,0,0.15733996023857,0.25902257491102,,0,0,0,0,0.21244261146992,0.64493659582068,0.29636194571977,,0,0.017746883128532,0.48629675724262,0,0.27517416665143,0.10792171481827,0,0.14391823147223,0,3.4554137055021,0.31066258033529,,0.13458346735285,0.17450316859056,,0.24110338433009,0,0.084441482271394,0.20285639470181,0.22548982698509,1.0926325714585,0.16633012706571,0.27117523205124,0,,1.1390487497621,0,0,,,0,0,0,0,0,0.1661179126219,0.15138951142985,0,0,0,0.72225078424538,0.98954878887446,0,0,0,0.73238077428221,0.65863996850217,0.2575851759464,0.11919157989027,0.18247101159536,0,0,0.49157432452084,0.18427897073121,0.49796307726839,0.51222822549147,0,0.13919362135264,0.20537776875488,,0.10595158036315,0,0.64069003719237,0.24277883561249,0.18759480511298,0,,,0,0,0.59591497747748,0.69236155668784,0.88133161765034,0.26038506417736,0,0,0.3099347403499,0.46935320143265,,,0.20963522280123,0.26125983165448,0.6431980555351
1972,0,0.66851215174867,0.22654092879653,,0.10972012287289,,0,0.27789088148898,0,0,0.54021143492831,0.38294381991777,0,0,0.74527957860616,0.05168123590371,0,0,0.68149489026725,0,0.093047436511739,0,0,0.18743958814877,0,0,0,0.16057357008861,0,0.6746913139676,1.8037535488098,0,0,0,0.058440429289499,0.78282856109074,0,,0,0,0.4658184888418,2.1858798170146,0.26478265631978,0,0.13716235780765,0,0.14321840949748,0.11119130613082,0,0.29979365674872,11.69114315139,0.62735332464146,1.1253569805709,0.07450428426797,0.49820177565249,0,0,0.25885125020791,0.13838545279093,0.23422702782222,0.078550018733608,0,,0,0.056938089646516,0,,0,0.56255627973419,0.47258385972074,,0,0.3057758909619,0,0,0.67169041653365,0.10985928279619,,0.21475950057993,0,0,,0.097538650041443,0,0,0,0.037253447456015,0.19477024625539,0.23521237479396,0.62713651448155,0.4176338028169,0.3315475799742,0.16070916985193,0.17944893378607,0.67121029535481,0.61155884883301,0.36484577501296,0.33444275079831,0.36151455863736,0.48927850453124,0.20472878998609,0,0.15934627591608,0,,0.22698008203931,0,0,0,0.15887477517986,,0,0.12816518319537,,0,1.3092849519744,0,0,0,0,0.31517915309446,0,0,0.51761875385564,,,0,0.25278165137615,0.25027784662715,,0,0,0,0,0.20348162965589,0.56999308197855,0.27767502553047,,0,0.023264329825172,0.53116387305656,0,0.28161703311996,0.11251840942563,0,0.17867593412049,0,2.5358369220308,0.31914403899812,,0.12232765184795,0.16830642935368,,0.24808936962497,0,0.08922375,0.19139410809557,0.20497508576396,1.0721268696781,0.1721500775777,0.28302689640681,0,,1.0837576721051,0,0,,,0,0,0,0,0,0.15893214114497,0.15308121773939,0,0,0,0.85270571077679,0.96399859866504,0,0,0,0.7339426816173,0.63281925838828,0.26831792578419,0.13259003860136,0.20751021439703,0,0,0.48168257994074,0.18294583557136,0.34809711875056,0.51110620351637,0,0.11472412148195,0.22343303310688,,0.12651875,0,0.61610683025361,0.23186317749681,0.19692778592375,0,,,0,0,0.56991488326848,0.65137904795985,0.87712225481547,0.27603238129889,0,0,0.30607707485691,0.48803491229557,,,0.14658756618945,0.25657969549561,0.5585939624694
1973,0,0.56487179487179,0.29492021665935,,0.11123359580052,,0,0.28201596033625,0,0,0.56342048239264,0.39078383622654,0,0,1.1531870428422,0.064909477408586,0,0,0.68151246872373,0,0.088045286506469,0,0,0.17161806349049,0,0,0,0.16312833699288,0,0.65904975880526,1.7365784618495,0,0,0,0.057827852998066,0.73277858927542,0,,0,0,0.48045840880591,2.1087301933928,0.26550561709048,0,0.23315497802408,0,0.15426543862298,0.11133821081562,0,0.31212438269022,12.262025316456,0.60383502170767,1.0932175952141,0.072826086956522,0.47562362465265,0,0,0.29262423885288,0.13909280969646,0.21693889289595,0.087833854399285,0,,0,0.070033198672053,0,,0,0.58799923698705,0.47771959459459,,0,0.53833907929426,0,0,0.66830498605205,0.10903555986941,,0.23436912200972,0,0,,0.099004421045527,0,0,0,0.039559210526316,0.17752412332313,0.20973169519852,0.60950141974278,0.46154049063572,0.33045830666984,0.16854360333393,0.20397970211707,0.66659480881456,0.60545396724439,0.39402450749749,0.33608038174481,0.50474277016743,0.48590033647057,0.25201649862511,0,0.1523275727853,0,,0.20918244859539,0,0,0,0.18966933276075,,0,0.12149764091962,,0,1.2701066021679,0,0,0,0,0.27589244905357,0,0,0.47725281231498,,,0,0.22209698558322,0.25144587964878,,0,0,0,0,0.23535783270985,0.58256670486168,0.23526783156689,,0,0.036825729767523,0.52687423683531,0,0.29368273280299,0.12044286279162,0,0.20289645510925,0,2.4642435751361,0.31669453589938,,0.14416968372157,0.16639500361755,,0.2723998653652,0,0.10105661696179,0.19576467086661,0.22447215591264,1.0166405632284,0.16866036395616,0.27736907730673,0,,1.0743307928074,0,0,,,0,0,0,0,0,0.17310907382316,0.17278812897467,0,0,0,0.7321246028457,0.93675683391621,0,0,0,0.70922420458776,0.66772022857143,0.26654579919601,0.128975005251,0.2080194207266,0,0,0.47744479754084,0.19112751100374,0.38694670723329,0.49801888310049,0,0.1636938744021,0.22698939423515,,0.12383689437255,0,0.69098535580249,0.23793409629045,0.21054462580494,0,,,0,0,0.40711121752664,0.62247469575927,0.86742517574529,0.26164277939042,0,0,0.30367382201825,0.52485347065226,,,0.24153614724361,0.2925299821383,0.61433304618647
1974,0,0.47363368604778,0.22848060437513,,0.11690770191707,,0,0.27149755431692,0,0,0.56034638176842,0.35890938703918,0,0,0.66095949088239,0.06057461987086,0,0,0.63663957202096,0,0.090923317683881,0,0,0.16953332368129,0,0,0,0.16196150154622,0,0.51645089990527,1.6711667684789,0,0,0,0.056696360989811,0.72215442332216,0,,0,0,0.43970023451042,2.1026095717024,0.27171963775095,0,0.28749557208643,0,0.13619197482297,0.12031464509666,0,0.31615207150455,10.657609710551,0.49721577726218,1.0682353244045,0.074501251024068,0.44707024269794,0,0,0.29693319744279,0.14477178620722,0.23241545807647,0.083527665889336,0,,0,0.068528239333781,0,,0,0.53824789532641,0.4425082599387,,0,0.39607444024426,0,0,0.64836950420726,0.12109500805153,,0.24328206166093,0,0,,0.097255710659898,0,0,0,0.041729868293114,0.18540624255421,0.23523717114693,0.59216213405023,0.43363273453094,0.33766203226989,0.16337689923074,0.21408911681319,0.5796545645488,0.59206446037314,0.37213533661236,0.32298011830031,0.4827972027972,0.49194974326581,0.25496104491292,0,0.18488180730102,0,,0.18438917267389,0,0,0,0.18407739254642,,0,0.090948582337414,,0,1.2401495616297,0,0,0,0,0.2771292617977,0,0,0.40031754574812,,,0,0.20852152965974,0.25452313046682,,0,0,0,0,0.25747331372867,0.57757987513772,0.25401892538612,,0,0.034920687104463,0.48923641478854,0,0.28559684564678,0.1124365189289,0,0.22933648276167,0,2.3249931356398,0.27689186488107,,0.14298842124609,0.17178082631883,,0.24784394250513,0,0.10222592433362,0.19350511536787,0.20981565964123,0.99052662295307,0.17260551133703,0.25823742514232,0,,0.99599080137715,0,0,,,0,0,0,0,0,0.15465556467838,0.19796573875803,0,0,0,0.71191124951343,0.91551349674217,0,0,0,0.68069406371568,0.63173408618227,0.28120608842086,0.098745996966122,0.19547434838128,0,0,0.42307419146252,0.16891454946525,0.38168735668538,0.42890590905124,0,0.11557372936631,0.21541890593302,,0.1120177956372,0,0.71189564724231,0.24607239034187,0.20483195890498,0,,,0,0,0.36365072726428,0.59717668937584,0.84090267959834,0.25024244027153,0,0,0.33614252253785,0.37712850134515,,,0.18608003977131,0.25157036681851,0.56223976135728
1975,0,0.4730551262236,0.21835475859057,,0.10813038039879,,0,0.26976048244865,0,0,0.55739014858332,0.34084913489589,0,0,0.64117778273478,0.065919702481134,0,0,0.58244119334481,0,0.10421720733427,0,0,0.18236193559993,0,0,0,0.16211357472594,0,0.44520513465895,1.5745626916598,0,0,0,0.060740081649744,0.72227294985428,0,,0,0,0.4398462511742,2.2422292681011,0.26147117238156,0,0.18073002301874,0,0.14261295971979,0.13663284891692,0,0.34115613209333,7.7108208955224,0.48245273873,1.0856022906299,0.075333814927877,0.45947264739579,0,0,0.2788875677104,0.15771878283619,0.25399391590207,0.086738897585894,0,,0,0.048755395973696,0,,0,0.52209492263714,0.40021255371942,,0,0.32715906318614,0,0,0.61693942762049,0.12927197284044,,0.24525965953776,0,0,,0.10952573598058,0,0,0,0.04371221719457,0.19431937478129,0.24156243142418,0.58508159776189,0.39982647496282,0.33613043600438,0.16385187480632,0.20797547570353,0.55214303575894,0.53039357197844,0.36363704034539,0.31403723299442,0.52140216698534,0.45329523302514,0.28763577536399,0,0.18420584309654,0,,0.17448731786292,0,0,0,0.20146959513779,,0,0.10477769022453,,0,1.0919587818567,0,0,0,0,0.28070649035685,0,0,0.30011251125113,,,0,0.17603700387944,0.25566912370484,,0,0,0,0,0.23881724828314,0.60887198986058,0.23930343063025,,0,0.028492384964355,0.46585189302774,0,0.28304698755984,0.11135772498699,0,0.18411460965993,0,2.2079394387001,0.29172975289244,,0.35700359411157,0.17871550016571,,0.29540647452975,0,0.084156523488583,0.19078331797075,0.2117275903426,1.023187009094,0.18595989790924,0.32042733791892,0,,0.97021439693376,0,0,,,0,0,0,0,0,0.1432515342701,0.25667064914377,0,0,0,0.76026543458712,0.93059457830317,0,0,0,0.7014156379849,0.63330700490948,0.2932765527329,0.091893780573026,0.12598831548199,0,0,0.41738633838266,0.171735468862,0.36950352264082,0.46531217543071,0,0.10809683991093,0.20658365402546,,0.087262538526198,0,0.671554313657,0.23602249009669,0.20520900644303,0,,,0,0,0.33952819458419,0.59245523543138,0.80731630313727,0.24771084337349,0,0,0.2774675963405,0.41277575619741,,,0.16300165338945,0.249996933456,0.52667300380228
1976,0,0.47584415584416,0.24634459574307,,0.089624832636555,,0,0.28935156556199,0,0,0.53301662053254,0.34992004136206,0,0,0.59217595096449,0.071368196590749,0,0,0.58682387332962,0,0.060624563038919,0,0,0.19666408735276,0,0,0,0.15146795245967,0,0.31526577638125,1.4777822793015,0,0,0,0.06031236154187,0.69033623406085,0,,0,0,0.44546752452117,2.3754537131779,0.26457655574055,0,0.20117302052786,0,0.13822201566857,0.12022826614862,0,0.32533004584136,15.723508459484,0.50126964933495,1.103604595676,0.083792297280669,0.46768214394099,0,0,0.26088965915656,0.16174673535402,0.24577058349325,0.086537254901961,0,,0,0.046591044302542,0,,0,0.57877684829301,0.43410114280279,,0,0.2565004272159,0,0,0.63968025267345,0.11860794760252,,0.25319135044014,0,0,,0.095771994899733,0,0,0,0.056038349312213,0.18736408740631,0.23594839148422,0.59830088363037,0.39791764155358,0.34555570472979,0.17562375292051,0.19764719406575,0.69337857640816,0.52893444373265,0.36165275459099,0.3144168435891,0.49702848555229,0.45535861649389,0.27371258598252,0,0.16681305121039,0,,0.17556766835041,0,0,0,0.4428165645089,,0,0.13207152930058,,0,1.0647465231045,0,0,0,0,0.30922595170932,0,0,0.29311923076923,,,0,0.14935359382537,0.27456874012054,,0,0,0,0,0.22395578350235,0.56685891748004,0.24083481000197,,0,0.021870101652828,0.49296652753812,0,0.29545503384549,0.12207877822337,0,0.1967957609622,0,2.0141850333162,0.30042831947594,,0.33986439570314,0.16702580678262,,0.28640514571587,0,0.09637010010291,0.19209432296444,0.21007033056564,1.0606344859188,0.18254648329545,0.26273551458671,0,,0.94188526050411,0,0,,,0,0,0,0,0,0.14815910023496,0.16176416819013,0,0,0,0.86580755021935,0.94623211915647,0,0,0,0.71529274794867,0.63851746375125,0.31007114150998,0.086032214435018,0.095648787002003,0,0,0.45127392118156,0.18036253506929,0.40948818076132,0.56760366563718,0,0.12405378929557,0.22264589810586,,0.092228260869565,0,1.0445640756303,0.23064834557372,0.20831889819679,0,,,0,0,0.37182651787474,0.57119627197482,0.80197958307984,0.23532397969381,0,0,0.23139552265942,0.24786801668509,,,0.16895960993609,0.23206697459584,0.68472213461175
1977,0,0.51689274733225,0.25026854066986,,0.094207349642132,,0,0.27326357685656,0,0,0.56933990464716,0.32035918208552,0,0,0.5865304518664,0.072373886497848,0,0,0.56753025403949,0,0.065877913429523,0,0,0.1832623474486,0,0,0,0.15200079902541,0,0.30171396194343,1.4456057686805,0,0,0,0.075911769002289,0.6820219908143,0,,0,0,0.39247194460552,2.4186243315607,0.26247458261986,0,0.085894774516822,0,0.15895872706212,0.11462352209085,0,0.32309386182219,8.0547598253275,0.46742293037755,1.0948268851106,0.084920867526377,0.47219854255465,0,0,0.22006524644289,0.14684196046064,0.23908337390227,0.083796687355393,0,,0,0.040809325172508,0,,0,0.56542200469145,0.3991544095113,,0,0.32442512474922,0,0,0.59726827148081,0.14296296296296,,0.26903059518181,0,0,,0.10226325833938,0,0,0,0.058420310296192,0.19101080615855,0.24015791965373,0.57850462734065,0.40892281229843,0.34073338201275,0.21538549991376,0.21273497632696,0.60915488041551,0.51675802490791,0.36288830138797,0.29703167702957,0.52184585174276,0.44875486748047,0.27525746203526,0,0.16696067378473,0,,0.16380101700726,0,0,0,0.21968182745258,,0,0.13591239985359,,0,0.96814487632509,0,0,0,0,0.27163202324772,0,0,0.27517832647462,,,0,0.14513354459031,0.27794199846612,,0,0,0,0,0.23225688275054,0.59586085424923,0.23998606271777,,0,0.025338957517324,0.46787425038392,0,0.32457976479611,0.14362263003143,0,0.16985699679824,0,1.8527032974198,0.28838677908705,,0.34373230893651,0.17148064841387,,0.27141622810463,0,0.096769592213459,0.19905014094132,0.20805829428516,1.0925442815617,0.17502438948852,0.28156856063833,0,,0.86592122538293,0,0,,,0,0,0,0,0,0.16099558752945,0.21015404846891,0,0,0,0.75897263768427,0.93884969300945,0,0,0,0.74131728082123,0.64442561078965,0.29706531268821,0.085139364160159,0.091249574395642,0,0,0.4455988815957,0.17869282184146,0.44179951690821,0.53475223922455,0,0.089040670599193,0.22633035229013,,0.12347151644825,0,0.97222188797305,0.25768232149675,0.222773658483,0,,,0,0,0.29948991815505,0.5630106563249,0.78798047490497,0.22219770694614,0,0,0.24198430621136,0.26653733899579,,,0.17829132491169,0.22596043317805,0.62876879317351
1978,0,0.55037319762511,0.34202029495036,,0.13828975337414,,0,0.29134909533395,0,0,0.58867683476404,0.32810375075967,0,0,0.56406454426515,0.069925919001659,0,0,0.59230123400645,0,0.079513371328365,0,0,0.20145671977206,0,0,0,0.15982744633476,0,0.42158397452905,1.4666377628441,0,0,0,0.079549808429119,0.66852671819592,0,,0,0,0.36243076385913,2.4164199476286,0.25613572032043,0,0.054244616419919,0,0.1670586885434,0.12278442273852,0,0.31626074202611,6.7017064846416,0.45709464888318,1.0873058873349,0.09097946124471,0.45652138176329,0,0,0.20897021473101,0.19346346904629,0.23466161413911,0.08303926354697,0,,0,0.056826675525289,0,,0,0.56787894062086,0.40366198035781,,0,0.51171091845028,0,0,0.59443434863679,0.13029341792228,,0.25634052711378,0,0,,0.1053991091086,0,0,0,0.059428390467896,0.17766669564461,0.24541777291894,0.61565102473202,0.3893936321233,0.32683758143682,0.22993635874088,0.2416496477456,0.50326339770274,0.48232827394346,0.36581149009445,0.30139317779618,0.63939372675602,0.41182585483457,0.26161557879553,0,0.16427751760072,0,,0.18601243536184,0,0,0,0.23120188464936,,0,0.13884138057767,,0,1.0090314913844,0,0,0,0,0.26189312736444,0,0,0.28819247378162,,,0,0.13739045127534,0.29642859048941,,0,0,0,0,0.23388339425213,0.62585717405547,0.22444609211445,,0,0.023734218310367,0.47450933267007,0,0.28708110346585,0.14452695269527,0,0.17210355571259,0,1.5703967608986,0.27208217241236,,0.32707843466577,0.17000091361151,,0.20279009872657,0,0.10889005392451,0.1966808801853,0.20162463928369,1.0861824176988,0.17007854447967,0.27285932920028,0,,0.87296698736598,0,0,,,0,0,0,0,0,0.16547973229597,0.256195599022,0,0,0,0.81782970629647,0.93263524220862,0,0,0,0.72734569769285,0.62418372963452,0.2998219223371,0.095100346020761,0.087601971211404,0,0,0.40593553198118,0.18287386977168,0.42158844765343,0.55326949512622,0,0.096296783241301,0.22364791787993,,0.085599710982659,0,0.83735644755551,0.26824622448614,0.20754941588343,0,,,0,0,0.35146622268993,0.54062216150881,0.76973122735755,0.21421948027669,0,0,0.25478960506374,0.26137097048133,,,0.14750130759355,0.20882618374346,0.64594876792427
1979,0,0.60777679788343,0.2320653004657,,0.13744647820317,,0,0.28505038832673,0,0,0.57997446488072,0.33370573734361,0,0,0.59733921352444,0.073726460848915,0,0,0.59727952486754,0,0.075390946502058,0,0,0.18956037350218,0,0,0,0.15924854433864,0,0.2682216690118,1.3364792764105,0,0,0,0.068326558265583,0.68454027059409,0,,0,0,0.36104798901773,2.2949026785204,0.25904497176464,0,0.053329247740156,0,0.1520336759239,0.13497471917109,0,0.32320527229999,6.8948953974895,0.44521128820003,1.0498737424576,0.096092184368737,0.45305344335177,0,0,0.24980120748049,0.21757558379182,0.241750839853,0.086491502601987,0,,0,0.07561815721491,0,,0,0.55479950900164,0.40789599388941,,0,0.45482000808952,0,0,0.59124364663384,0.11972703032494,,0.26454361836146,0,0,,0.11436813925629,0,0,0,0.055326840785008,0.15999667746491,0.22172506964958,0.55940135948324,0.38333011023013,0.36176100906304,0.2169786276151,0.27732588480881,0.52126687455593,0.54381995713265,0.34169041302283,0.2951544087847,0.60493617021277,0.41270823283451,0.24962987442168,0,0.14444348377428,0,,0.13725531417893,0,0,0,0.22244780251471,,0,0.14992511377502,,0,1.0093555610848,0,0,0,0,0.28115527182867,0,0,0.25265494137353,,,0,0.13887555274795,0.29375718897485,,0,0,0,0,0.27238873595842,0.56706844597503,0.21086235489221,,0,0.036109662414546,0.51225867245195,0,0.25708385286783,0.12788418374981,0,0.23462772785623,0,1.4418364411434,0.27681703361941,,0.31054410817772,0.17694987955748,,0.21772879731672,0,0.088764646802812,0.18727905663399,0.19418333324823,1.1603887344831,0.17718760470206,0.35743408263968,0,,0.83984892055453,0,0,,,0,0,0,0,0,0.17739550380681,0.26397038661914,0,0,0,0.81400803684306,0.90077180225841,0,0,0,0.75907467380325,0.67503534311962,0.30455313594215,0.099094645923305,0.09575247698892,0,0,0.41744718526352,0.16867436743674,0.60251353234364,0.51014351739236,0,0.087458661918087,0.22220366467662,,0.3508509017018,0,0.88192039695946,0.29454355729097,0.20429065367129,0,,,0,0,0.23735192497532,0.55542243119195,0.74773201910474,0.22048375171637,0,0,0.28181814830516,0.28125043273558,,,0.1440818336467,0.22313562476734,0.63555929919137
1980,0,0.40329430132709,0.33575227233664,,0.13043818466354,,0,0.26875755354348,0,0,0.60414486480563,0.27829712800158,0,0,0.53889230769231,0.084015659213058,0,0,0.5514248090167,0,0.097776493256262,0,0,0.18931328728159,0,0,0,0.14486175393722,0,0.26679986034061,1.2374959938465,0,0,0,0.14919373416264,0.67182582969846,0,,0,0,0.3388181437619,2.0883183938024,0.24832451697407,0,0.052817139880177,0,0.1328540423223,0.15578461538462,0,0.33615716678837,6.8713938411669,0.45069818885663,1.0370228707511,0.087613444955628,0.43624462355875,0,0,0.21913464489072,0.2316859058547,0.23146525664279,0.087415962054032,0,,0,0.071662329469285,0,,0,0.56430776099701,0.38319812582249,,0,0.43546309077762,0,0,0.57373439722286,0.11461406980928,,0.26312597272995,0,0,,0.10585518720106,0,0,0,0.05110219478738,0.16867161716172,0.21106420851875,0.56534353932218,0.34032553035845,0.35865655110672,0.19692060533477,0.26056394341115,0.35878974845752,0.50579129765114,0.33801262845913,0.28623848182276,0.63523128995863,0.39794384304794,0.26079084749528,0,0.16789944865986,0,,0.24144654889998,0,0,0,0.22311538752936,,0,0.15378864010934,,0,0.91143186117279,0,0,0,0,0.2686382367034,0,0,0.26664058424622,,,0,0.13811753687661,0.30221159748677,,0,0,0,0,0.26254907783167,0.66071059698409,0.21159208757442,,0,0.039054834054834,0.46860290820915,0,0.268973901268,0.14463596052067,0,0.21826091140946,0,1.3574750118991,0.24308913969563,,0.22932022621171,0.18221638895229,,0.18811138014528,0,0.089050044950554,0.19144482456838,0.17903027654357,1.2128589528132,0.18248532889849,0.32931477192629,0,,0.81519291335311,0,0,,,0,0,0,0,0,0.20590762372539,0.315379525475,0,0,0,0.64311098344174,0.88994900798724,0,0,0,0.74297531961441,0.69532356670825,0.31438109640943,0.083288681332186,0.098937460299128,0,0,0.34684587518923,0.16378323497171,0.49597272074659,0.51664501532169,0,0.076897188590191,0.23073262844241,,0.1758590113057,0,0.90275317468787,0.29660629230384,0.20989936538236,0,,,0,0,0.19305749247659,0.50932427689685,0.7224062951914,0.19354355852709,0,0,0.34959656268321,0.30108878923767,,,0.14208224347155,0.21215752393569,0.56622887095824
1981,0,0.54151040897682,0.22744763138779,,0.13471454880295,,0,0.26737594239662,0,0,0.61014160385387,0.29909949483857,0,0,0.6152090705568,0.081327668175771,0,0,0.50678310866507,0,0.073194882579741,0,0,0.19373531080314,0,0,0.23697083725306,0.13904645923499,0,0.071094014612668,1.2229675231432,0,0,0,0.17442531562551,0.62971086827466,0,,0,0,0.31373686585444,1.9636932801074,0.2433020916362,0,0.052122688517329,0,0.12414367401321,0.10447014945542,0,0.29273179134741,6.5930612244898,0.4173971679029,1.0317674313482,0.092243073295343,0.37676364853654,0,0,0.20060162176301,0.27247856535114,0.25136639276261,0.083768596563954,0,,0,0.073338064821386,0,,0,0.4925499702957,0.34121238816737,,0,0.41055791843883,0,0,0.54397353274736,0.14123432620146,,0.26326932571405,0,0,,0.092459499953179,0,0,0,0.051508755259943,0.14581153939004,0.21664203507384,0.54802307155987,0.30643746711103,0.36499244798857,0.19288850425501,0.25788787364185,0.25419724459956,0.48560008944044,0.32137832961253,0.27566505097188,0.54295346280689,0.37458161350541,0.30896361514798,0,0.17025065095605,0,,0.30412891206252,0,0,0,0.22018234562785,,0,0.20589059099821,,0,0.78531260337413,0,0,0,0,0.27669408749574,0,0,0.28861398636708,,,0,0.11991817779743,0.29435746854139,,0,0,0,0,0.26572589446114,0.48770411174503,0.2030697002528,,0,0.030180474160895,0.43882116375518,0,0.24351693918363,0.14491582948683,0,0.24302880798248,0,1.2375177143846,0.23960155417873,,0.19496741139466,0.18101099830795,,0.18417493487057,0,0.07594839418062,0.1810481804203,0.16211564194662,1.1892870331869,0.18110214566942,0.33634649134296,0,,0.82073310946833,0,0,0,0,0,0,0,0,0,0.2092200646863,0.29508771929825,0,0,0,0.4957103663058,0.88559950369205,0,0,0,0.79441713298706,0.67225607556644,0.30329644940024,0.093144823737327,0.089481322225208,0,0,0.33408007626311,0.15452055339902,0.5854167585933,0.5068516428989,0,0.086041003022135,0.20619847328244,,0.16169188445667,0,0.88277698136392,0.29105758664726,0.21075629983711,0,,,0,0,0.18417983719474,0.49689922755486,0.67631884472076,0.17542825325079,0,0,0.35532553197255,0.29993387813231,,,0.14937075791855,0.19044918330309,0.49227467811159
